source,bias,factual_reporting
9news.com,neutral,high
nbc11news.com,neutral,high
12news.com,neutral,high
wibw.com,neutral,high
wifr.com,neutral,high
247wallst.com,neutral,high
24ur.com,neutral,mixed
38north.org,neutral,high
audacy.com,neutral,high
join1440.com,neutral,high
abc7chicago.com,neutral,high
abc7ny.com,neutral,high
abc12.com,neutral,high
abs-cbn.com,neutral,high
actionnewsjax.com,neutral,high
adfontesmedia.com,neutral,high
lenconnect.com,left-center,high
adweek.com,neutral,high
africacheck.org,neutral,high
agdaily.com,neutral,high
afp.com,neutral,high
ansa.it,neutral,high
agerpres.ro,neutral,high
agweb.com,right-center,high
ahwatukee.com,neutral,high
airforcetimes.com,neutral,high
airwars.org,neutral,high
alabamanow.com,neutral,high
alreporter.com,neutral,high
democratherald.com,neutral,high
ad.nl,neutral,high
allafrica.com,neutral,high
gmfus.org,neutral,high
alloaadvertiser.com,neutral,high
thealpenanews.com,neutral,high
amarillo.com,neutral,high
americanheritage.com,neutral,high
americanpressinstitute.org,neutral,high
amomama.com,neutral,high
adn.com,neutral,high
independentmail.com,neutral,high
andoveradvertiser.co.uk,neutral,high
mlive.com,neutral,high
arcdigital.media,neutral,high
ardrossanherald.com,neutral,high
arirang.com,neutral,high
armytimes.com,neutral,high
arstechnica.com,neutral,high
asiatimes.com,neutral,high
summitdaily.com,neutral,high
athensmessenger.com,neutral,high
atlasobscura.com,neutral,high
auburnpub.com,neutral,high
aap.com.au,neutral,high
avenuenews.com,neutral,high
ayradvertiser.com,neutral,high
azfamily.com,neutral,high
babnet.net,neutral,mixed
ballotpedia.org,neutral,high
barrheadnews.com,neutral,high
barryanddistrictnews.co.uk,neutral,high
basingstokegazette.co.uk,neutral,high
mlive.com,neutral,high
beatricedailysun.com,neutral,high
bnd.com,right-center,high
benzinga.com,neutral,high
bestlifeonline.com,neutral,mixed
bettergov.org,neutral,high
bicesteradvertiser.net,neutral,high
bigcountry995.com,neutral,high
bignewsnetwork.com,neutral,mixed
bigthink.com,neutral,high
sunherald.com,neutral,high
biography.com,neutral,high
bismarcktribune.com,neutral,high
blastingnews.com,neutral,high
bleepingcomputer.com,neutral,high
bnonews.com,neutral,high
bordercountiesadvertizer.co.uk,neutral,high
borderreport.com,neutral,high
bordertelegraph.com,neutral,high
borehamwoodtimes.co.uk,neutral,high
bournemouthecho.co.uk,neutral,high
bozemandailychronicle.com,neutral,high
bracknellnews.co.uk,neutral,high
thetelegraphandargus.co.uk,neutral,high
braintreeandwithamtimes.co.uk,neutral,high
brentwoodlive.co.uk,neutral,high
bridgemi.com,left-center,high
bringmethenews.com,neutral,high
heraldcourier.com,neutral,high
theeagle.com,neutral,high
buffalonews.com,neutral,high
bullshido.net,neutral,high
shawlocal.com,neutral,high
business2community.com,neutral,mixed
butlercountytimesgazette.com,neutral,high
c-span.org,neutral,high
somdnews.com,neutral,high
canoncitydailyrecord.com,neutral,high
capecodtimes.com,neutral,high
capecoralbreeze.com,neutral,high
capitolfax.com,neutral,high
carrollconews.com,neutral,high
trib.com,neutral,high
castanet.net,neutral,high
tucsonlocalmedia.com,neutral,high
cbslocal.com,neutral,high
cdt.org,neutral,high
opensecrets.org,neutral,high
csis.org,neutral,high
myeasternshoremd.com,left-center,high
chandlernews.com,neutral,high
postregister.com,neutral,high
channelnewsasia.com,neutral,high
charitynavigator.org,neutral,high
chathamhouse.org,neutral,high
timesfreepress.com,neutral,high
thelandmark.com,neutral,high
chicoer.com,neutral,high
chinookobserver.com,neutral,high
chippewa.com,neutral,high
csmonitor.com,neutral,high
citynews.ca,neutral,high
clarindaherald.com,neutral,high
cctimesdemocrat.com,neutral,high
claytodayonline.com,neutral,high
claytonrecord.com,neutral,high
columbustelegram.com,neutral,high
cnet.com,neutral,high
ced.org,neutral,high
cpj.org,neutral,high
communityimpact.com,neutral,high
independenttribune.com,neutral,high
concordmonitor.com,neutral,high
congress.gov,neutral,high
cbo.gov,neutral,high
constitutioncenter.org,neutral,high
consumerreports.org,neutral,high
cookcountynews-herald.com,neutral,high
cookpolitical.com,neutral,high
corriere.it,neutral,high
coronavirus.gov,neutral,high
gazettetimes.com,neutral,high
cfr.org,neutral,high
countable.com,neutral,high
countryliving.com,neutral,high
courthousenews.com,neutral,high
courttv.com,neutral,high
covidtracking.com,neutral,high
cp24.com,neutral,high
craigdailypress.com,neutral,high
crainscleveland.com,neutral,high
crainsdetroit.com,neutral,high
cruxnow.com,neutral,high
ctvnews.ca,neutral,high
starexponent.com,neutral,high
dccircuitbreaker.org,neutral,high
dailycamera.com,neutral,high
messengernews.net,neutral,high
dailyjournalonline.com,neutral,high
dailymaverick.co.za,neutral,high
nonpareilonline.com,neutral,high
dailyrecord.com,neutral,high
godanriver.com,neutral,high
darientimes.com,neutral,high
daytondailynews.com,neutral,high
defensenews.com,neutral,high
defenseone.com,neutral,high
shawlocal.com,neutral,high
delawarelive.com,neutral,high
dbrnews.com,neutral,high
dentonrc.com,neutral,high
desmoinesregister.com,neutral,high
standaard.be,neutral,high
detik.com,neutral,mixed
differencebetween.net,neutral,high
digi24.ro,neutral,high
digitaljournal.com,neutral,high
qconline.com,neutral,high
dmagazine.com,neutral,high
doctorswithoutborders.org,neutral,high
dodgeglobe.com,neutral,high
dorsetecho.co.uk,neutral,high
dothaneagle.com,neutral,high
dpa.com,neutral,high
ladowntownnews.com,neutral,high
duluthnewstribune.com,neutral,high
eagletribune.com,neutral,high
yourobserver.com,neutral,high
edp24.co.uk,neutral,high
